Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
10 U.S.C. § 708,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic,Military Readiness,Department of Homeland Security - Coast Guard
10 U.S.C. § 712,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",International,"Military Readiness,""Troop, Uniformed Service, or National Guard Deployment""",Department of Homeland Security - Coast Guard
10 U.S.C. § 857,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic,Military Readiness,Department of Homeland Security - Coast Guard
10 U.S.C. § 1060c,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic,Military Readiness,Department of Homeland Security - Coast Guard
10 U.S.C. § 2350j,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both,"Government Contracts,Appropriations - Emergency Response",Department of Homeland Security - Coast Guard
14 U.S.C. § 104,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic,"Government Contracts,Military Readiness",Department of Homeland Security - Coast Guard
14 U.S.C. § 2127,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment""",Department of Homeland Security - Coast Guard
14 U.S.C. § 2308,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment""",Department of Homeland Security - Coast Guard
14 U.S.C. § 2314,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment""",Department of Homeland Security - Coast Guard
14 U.S.C. § 2779,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic,Provision of Supplies,Department of Homeland Security - Coast Guard
14 U.S.C. § 3735,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness",Department of Homeland Security - Coast Guard
14 U.S.C. § 4903,"Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness",Department of Homeland Security - Coast Guard
42 U.S.C. § 268,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Homeland Security - Coast Guard,Department of Homeland Security - Customs and Border Protection",No triggering event - Capacity Building,Both,"Regulations on Interstate or Foreign Commerce,Quarantine",Department of Homeland Security - Coast Guard
